Date,Average Temperature (°C),Average Wind Speed (km/h),Average Wind Gusts (km/h),Wind Direction (°),Season,Precipitation,Average Relative Humidity (%),Average Sunshine Duration (hours)
2024-06-09,10.4305,7.633371,17.564999,104.58894348144531,Winter,0.0,56.863644,35052.35
2024-06-10,10.1034155,8.311829,17.61,92.32672119140625,Winter,0.0,52.98618,35028.086
2024-06-11,10.0555,7.3097844,16.095,92.24861907958984,Winter,0.0,50.32842,35004.574
2024-06-07,10.905499,11.306222,25.169998,178.09083557128906,Winter,0.0,47.522964,35102.85
2024-06-08,11.982583,12.588275,27.045,100.62870025634766,Winter,0.0,50.46993,35077.3
2024-06-09,10.4305,7.633371,17.564999,104.58894348144531,Winter,0.0,56.863644,35052.35
2024-06-10,10.1034155,8.311829,17.61,92.32672119140625,Winter,0.0,52.98618,35028.086
2024-06-11,10.0555,7.3097844,16.095,92.24861907958984,Winter,0.0,50.32842,35004.574
2024-06-12,9.972166,7.0633183,15.599996,191.30996704101562,Winter,0.0,54.046463,34981.895
2024-06-13,11.570084,7.022488,15.404999,145.49798583984375,Winter,0.0,52.330948,34960.125
2024-06-14,12.072166,6.2610073,14.759999,145.30477905273438,Winter,0.0,51.4473,34939.336
2024-06-15,12.088834,6.290747,15.075,134.40011596679688,Winter,0.0,47.287415,34919.605
2024-06-16,12.188832,8.658177,17.999998,103.64292907714844,Winter,0.0,48.8293,34901.008
2024-06-17,12.549251,8.07254,17.67,105.07792663574219,Winter,0.0,55.34753,34883.61
2024-06-18,12.459667,7.880099,17.715,247.25833892822266,Winter,0.0,57.359055,34867.5
2024-06-19,12.909668,9.274862,19.695,186.9110565185547,Winter,0.0,45.88261,34852.734
2024-06-20,14.130498,10.612172,22.964998,103.1771469116211,Winter,0.0,31.37622,34839.402
2024-06-14,12.072166,6.2610073,14.759999,145.30477905273438,Winter,0.0,51.4473,34939.336
2024-06-15,12.088834,6.290747,15.075,134.40011596679688,Winter,0.0,47.287415,34919.605
2024-06-16,12.188832,8.658177,17.999998,103.64292907714844,Winter,0.0,48.8293,34901.008
2024-06-17,12.549251,8.07254,17.67,105.07792663574219,Winter,0.0,55.34753,34883.61
2024-06-18,12.459667,7.880099,17.715,247.25833892822266,Winter,0.0,57.359055,34867.5
2024-06-19,12.909668,9.274862,19.695,186.9110565185547,Winter,0.0,45.88261,34852.734
2024-06-20,14.130498,10.612172,22.964998,103.1771469116211,Winter,0.0,31.37622,34839.402
2024-06-21,13.715917,10.048401,22.065,83.37669372558594,Winter,0.0,58.17828,34827.54
2024-06-22,13.355499,7.1010385,15.674998,141.4053497314453,Winter,0.0,48.168304,34816.67
2024-06-23,13.601335,10.766159,23.22,100.2958755493164,Winter,0.0,56.064575,34806.625
2024-06-24,12.830501,7.792013,17.37,114.95232391357422,Winter,0.0,60.859486,34797.445
2024-06-25,13.488833,9.215156,19.965,139.38827514648438,Winter,0.0,51.923218,34789.18
2024-06-26,14.036751,11.562926,25.035002,133.3358154296875,Winter,0.0,45.627544,34781.867
2024-06-27,14.118,10.699169,23.429998,98.8171157836914,Winter,0.0,57.289764,34775.555
2024-06-23,13.601335,10.766159,23.22,100.2958755493164,Winter,0.0,56.064575,34806.625
2024-06-24,12.830501,7.792013,17.37,114.95232391357422,Winter,0.0,60.859486,34797.445
2024-06-25,13.488833,9.215156,19.965,139.38827514648438,Winter,0.0,51.923218,34789.18
2024-06-26,14.036751,11.562926,25.035002,133.3358154296875,Winter,0.0,45.627544,34781.867
2024-06-27,14.118,10.699169,23.429998,98.8171157836914,Winter,0.0,57.289764,34775.555
2024-06-28,13.092999,6.9712124,16.394999,98.4268798828125,Winter,0.0,56.408417,34770.285
2024-06-29,12.209666,6.028026,14.309998,187.54933166503906,Winter,0.0,60.685516,34766.105
2024-06-30,12.770084,6.1508102,14.490001,166.32861328125,Winter,0.0,58.370453,33514.34
2024-07-01,13.4805,8.99528,18.869997,98.91202545166016,Winter,0.0,48.461735,34764.684
2024-07-02,15.33883,8.052812,18.03,78.60465240478516,Winter,0.0,39.926647,34762.895
2024-07-03,15.274249,6.986614,16.484999,304.1314697265625,Winter,0.0,39.365253,34797.727
2024-07-04,12.759667,8.48417,18.794998,194.47386169433594,Winter,0.0,33.55949,34837.98
2024-07-05,10.2555,8.829171,19.425001,202.29837036132812,Winter,0.0,37.086464,34883.668
2024-07-06,8.922168,5.8943267,13.305,176.02755737304688,Winter,0.0,36.730247,34892.746
2024-06-30,12.770084,6.1508102,14.490001,166.32861328125,Winter,0.0,58.370453,33514.34
2024-07-01,13.4805,8.99528,18.869997,98.91202545166016,Winter,0.0,48.461735,34764.684
2024-07-02,15.33883,8.052812,18.03,78.60465240478516,Winter,0.0,39.926647,34762.895
2024-07-03,15.274249,6.986614,16.484999,304.1314697265625,Winter,0.0,39.365253,34797.727
2024-07-04,12.759667,8.48417,18.794998,194.47386169433594,Winter,0.0,33.55949,34837.98
2024-07-05,10.2555,8.829171,19.425001,202.29837036132812,Winter,0.0,37.086464,34883.668
2024-07-06,8.922168,5.8943267,13.305,176.02755737304688,Winter,0.0,36.730247,34892.746
2024-07-07,10.332583,9.655755,22.08,315.14083099365234,Winter,0.0,29.831436,34903.0
2024-07-08,8.320084,10.8617325,24.135,230.89015197753906,Winter,0.0,31.694473,34914.43
2024-07-09,5.863833,5.7889524,13.784997,206.77877807617188,Winter,0.0,40.1706,34927.07
2024-07-10,9.9575815,6.5113883,15.014999,150.75148010253906,Winter,0.0,29.794312,34940.996
2024-07-11,12.399251,7.919377,16.994999,302.96907806396484,Winter,0.0,24.004303,35008.73
2024-07-12,12.940917,8.307151,18.029999,35.88215255737305,Winter,0.0,24.455057,35081.77
2024-07-13,14.501334,8.9544115,19.605,46.81822967529297,Winter,0.0,21.931465,35103.383
2024-07-09,5.863833,5.7889524,13.784997,206.77877807617188,Winter,0.0,40.1706,34927.07
2024-07-10,9.9575815,6.5113883,15.014999,150.75148010253906,Winter,0.0,29.794312,34940.996
2024-07-11,12.399251,7.919377,16.994999,302.96907806396484,Winter,0.0,24.004303,35008.73
2024-07-12,12.940917,8.307151,18.029999,35.88215255737305,Winter,0.0,24.455057,35081.77
2024-07-13,14.501334,8.9544115,19.605,46.81822967529297,Winter,0.0,21.931465,35103.383
2024-07-14,15.170083,8.530605,19.47,235.17544555664062,Winter,0.0,21.518248,35126.062
2024-07-15,12.586751,8.486428,18.57,163.58270263671875,Winter,0.0,29.630829,35149.766
2024-07-16,13.480499,7.779349,18.029997,171.82571411132812,Winter,0.0,25.451239,35237.293
2024-07-17,13.951332,7.485722,16.335,148.3176727294922,Winter,0.0,29.934341,35264.953
